JobTitle,CompanyName,Category,Salary,JobType,JobFunction,PositionLevel,WorkingDay,WorkingHour,Location,DetailLocation,WorkingExperience,Qualification,Age
Reservation (1 Position),Ochheuteal Hotel ( OC Hotel ),Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Junior Executive,,,Preah Sihanouk,"# St 23tola, Village 4, Sang Kat 4, Sihanouk Ville., Preah Sihanouk",< 2 years,Bachelor's Degree,18 - 30
Graphic  Designer,"CAMBOPAY CO., LTD",Information Technology / Digital,Negotiable,Full Time,Arts/Creative Design,Non-Executive,,,Phnom Penh,"No 66, Monivong Boulevard, Sangkat Wat Phnom, Khan Daun Penh , Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,20 - 28
Mechanical Technician II,Khmer Brewery Limited,Food and Berverage,Negotiable,Full Time,Mechanical/Automotive Engineer,Fresh/Entry Level,,,Phnom Penh,"(Commercial Office) No. 19H, Street 271, Sangkat Beong Salang, Khan Tuolkok, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Plan Maintenance Clerk (Electrical/Mechanical),Khmer Brewery Limited,Food and Berverage,Negotiable,Full Time,Maintenance,Non-Executive,,,Phnom Penh,"(Commercial Office) No. 19H, Street 271, Sangkat Beong Salang, Khan Tuolkok, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Graphic Designer (Urgent),Century 21 Cambodia,Property / Real Estate,Negotiable,Full Time,Arts/Creative Design,Junior Executive,,,Phnom Penh,"#113 Mao Tse Toung Blvd. No 2FK1 Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,20 - 35
Executive - Commercial,"Union Champion Logistic (Cambodia) Co., Ltd",Logistics / Transportation / Warehouse,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"Unit 3-AB, 2nd Floor, P.G.C.T Center, St 274, Tonle Basac, Chamkamon, Phnom Penh, Cambodia, Phnom Penh",< 2 years,Bachelor's Degree,24 - 35
Driver,"Union Champion Logistic (Cambodia) Co., Ltd",Logistics / Transportation / Warehouse,Negotiable,Full Time,Logistics/Supply Chain,Fresh/Entry Level,,,Phnom Penh,"Unit 3-AB, 2nd Floor, P.G.C.T Center, St 274, Tonle Basac, Chamkamon, Phnom Penh, Cambodia, Phnom Penh",< 2 years,High School or equivalent,20 - 40
Operation Export ( 3 Postions ),"High Level Logistics (Cambodia) Co., LTD",Logistics / Transportation / Warehouse,Negotiable,Full Time,General Work,Junior Executive,,,Phnom Penh,"#F05, Str Doung Ngeab3, Sangkat Tuek Thla, Khan Sensok, Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sale Executive 2 Positions,"High Level Logistics (Cambodia) Co., LTD",Logistics / Transportation / Warehouse,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#F05, Str Doung Ngeab3, Sangkat Tuek Thla, Khan Sensok, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Warehouse Staff 2 Position,"High Level Logistics (Cambodia) Co., LTD",Logistics / Transportation / Warehouse,Negotiable,Full Time,Logistics/Supply Chain,Junior Executive,,,Phnom Penh,"#F05, Str Doung Ngeab3, Sangkat Tuek Thla, Khan Sensok, Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Shop Supervisor (Urgent-In Siem Reap),"LOCK&LOCK Phnom Penh Co., Ltd",Advertising / PR / Events,Negotiable,Full Time,Top Management,Junior Executive,,,Siem Reap,"#443,Monivong Blvd, Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,22 - 35
Cost Controller,Raffles Grand Hotel d'Angkor,Hotel / Resort / Travel,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Siem Reap,"1 Vithei Charles du Gaulle, Khum Svay Dang Kum, Siem Reap, Kingdom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,23 - 50
Executive Sous Chef (Urgent),Raffles Grand Hotel d'Angkor,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Siem Reap,"1 Vithei Charles du Gaulle, Khum Svay Dang Kum, Siem Reap, Kingdom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,23 - 50
Engineering Supervisor (Urgent),Raffles Grand Hotel d'Angkor,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Siem Reap,"1 Vithei Charles du Gaulle, Khum Svay Dang Kum, Siem Reap, Kingdom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,18 - 50
Sales Manager (Urgent),Raffles Grand Hotel d'Angkor,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Siem Reap,"1 Vithei Charles du Gaulle, Khum Svay Dang Kum, Siem Reap, Kingdom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,18 - 50
HR Trainee,Smile Mini Mart,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Human Resource,Non-Executive,,,Phnom Penh,"N21, St. 488/St. 145, Phsar Deumthkov, Chamkamorn, Phnom Penh, Phnom Penh",No preference,Associate Degree,20 - 27
Management Trainee,Smile Mini Mart,Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"N21, St. 488/St. 145, Phsar Deumthkov, Chamkamorn, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,21 - 28
Human Resource Manager,Golden Temple Residence,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Senior Executive,,,Siem Reap,"Sok San Road, Steung Thmei, Svay Dangkum, Siem Reap, Kingkom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,18 - 50
Executive Chef,Golden Temple Residence,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Non-Executive,,,Siem Reap,"Sok San Road, Steung Thmei, Svay Dangkum, Siem Reap, Kingkom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,18 - 50
Restaurant Manager,Golden Temple Residence,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Non-Executive,,,Siem Reap,"Sok San Road, Steung Thmei, Svay Dangkum, Siem Reap, Kingkom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,18 - 50
Ground Operation Staff,JC (Cambodia) International Airlines,General Business,Negotiable,Full Time,General Work,Non-Executive,,,Phnom Penh,"8th & 9th Floor, Suntown Plaza, Conner Russian Blvd & Northbridge Road, Sangkat Toeuk Thla, Khan SenSok,Phnom Penh, Kingdom of Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Accountant (1 Position),Lyla Sports & Recreation Center,General Business,Negotiable,Full Time,General/Cost Accounting,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Cafe Baristas (2 Positions),Lyla Sports & Recreation Center,General Business,Negotiable,Full Time,Food/Beverage/Restaurant,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Cashier (3 Positionស),Lyla Sports & Recreation Center,General Business,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"#36, St.508, Sangkat Phsa Doeum Tkov, Khan Chamkamorn, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Cook (Thai & Khmer food),Spicy Yummy Restaurant,Food and Berverage,Negotiable,Full Time,Food/Beverage/Restaurant,Non-Executive,,,Phnom Penh,"#245A, Street 63 , bkk1 , phnom penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 37
Services Staff ( 5 Post),Spicy Yummy Restaurant,Food and Berverage,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"#245A, Street 63 , bkk1 , phnom penh, Phnom Penh",< 2 years,High School or equivalent,20 - 25
Sale Representative,"KSLM INVESTMENT Co., Ltd",Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"# 44B, St. 190, Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 40
Sale Representatives (Packing Machine ),"KSLM INVESTMENT Co., Ltd",Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"# 44B, St. 190, Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sale Representatives (Project Sales),"KSLM INVESTMENT Co., Ltd",Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"# 44B, St. 190, Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sale Representatives (Accessory)/(Kitchen),"KSLM INVESTMENT Co., Ltd",Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"# 44B, St. 190, Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sale Admin,"KSLM INVESTMENT Co., Ltd",Retail / Trading Distribution / Cosumer Products ,Negotiable,Full Time,Sales-Corporate,Non-Executive,,,Phnom Penh,"# 44B, St. 190, Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 35
Cook,Heritage Suites Hotel,Hotel / Resort / Travel,Negotiable,Full Time,Food/Beverage/Restaurant,Non-Executive,,,Siem Reap,"Wat Polangka, Siem Reap, Siem Reap",No preference,High School or equivalent,18 - 50
Urgent - Bakers and pastry cooks – 180 - 250$,The shop cambodia,Food and Berverage,$201 - $500 USD,Full Time,Food/Beverage/Restaurant,Junior Executive,,,Phnom Penh,"House 37 Street 240 – Daun Penh  – Phnom Penh, Phnom Penh",No preference,High School or equivalent,18 - 50
URGENT - Maintenance Staff,The shop cambodia,Food and Berverage,Negotiable,Full Time,Maintenance,Non-Executive,,,Phnom Penh,"House 37 Street 240 – Daun Penh  – Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 40
200$ Waiter & Waitress,The shop cambodia,Food and Berverage,$201 - $500 USD,Full Time,Customer Service,Junior Executive,,,Phnom Penh,"House 37 Street 240 – Daun Penh  – Phnom Penh, Phnom Penh",< 2 years,High School or equivalent,18 - 30
柏威夏基地会计 / Accountant: 01 position,"Rui Feng(Cambodia)International co.,ltd",Agriculture / Plantation,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Preah Vihear,"Preah Vihear, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Purchasing Assistant,"LSH (CAMBODIA) PTE., LTD",Food and Berverage,Negotiable,Full Time,Purchasing/Material Mgmt,Non-Executive,,,Phnom Penh,"Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales Manager (Focus on GT),"LSH (CAMBODIA) PTE., LTD",Food and Berverage,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Brand Representative/Executive (Many Positions),"LSH (CAMBODIA) PTE., LTD",Food and Berverage,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"Phnom Penh, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
金边总部财务管理专员，若干名，/ Accountant Specialist vacancies,"Rui Feng(Cambodia)International co.,ltd",Agriculture / Plantation,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Phnom Penh,"Preah Vihear, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Sale Store and Stock Keeper,MU Coffee & Gourmet,Food and Berverage,Negotiable,Full Time,Security/Armed Forces/Protective Services,Non-Executive,,,Phnom Penh,"St 51L228, Phnom Penh , Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sous Chef - Western Food (2 Positions),MU Coffee & Gourmet,Food and Berverage,Negotiable,Full Time,Food/Beverage/Restaurant,Non-Executive,,,Phnom Penh,"St 51L228, Phnom Penh , Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Coffee Service F&B,MU Coffee & Gourmet,Food and Berverage,Negotiable,Full Time,Food/Beverage/Restaurant,Non-Executive,,,Phnom Penh,"St 51L228, Phnom Penh , Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sales Manager,Wang Bo LTD,General Business,Negotiable,Full Time,Top Management,Senior Manager,,,Phnom Penh,"Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Marketing Manager,Wang Bo LTD,General Business,Negotiable,Full Time,Top Management,Senior Manager,,,Phnom Penh,"Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Executive Assistant to CEO,Kong Kheang Metal Bending Enterprise,General Business,Negotiable,Full Time,Secretarial,Non-Executive,,,Phnom Penh,"No. 57, Hanoi (Street 1019), Sangkat Khmounh, Khan Sensok, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Admin,"RGS Global Co., Ltd",Property / Real Estate,Negotiable,Full Time,Clerical/Administrative,Non-Executive,,,Phnom Penh,"# 45Z street 371 , Sangkat Teok Thla ,Kh. Sensok, Phnom Penh Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Accountant,"RGS Global Co., Ltd",Property / Real Estate,Negotiable,Full Time,General/Cost Accounting,Non-Executive,,,Phnom Penh,"# 45Z street 371 , Sangkat Teok Thla ,Kh. Sensok, Phnom Penh Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Top Salaries for App/Web Developers,Pathmazing Inc,Information Technology / Digital,Negotiable,Full Time,IT-Software,Junior Executive,,,Phnom Penh,"#33-34,St.114,Monorom,7Makara,Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
ផ្នែកទីផ្សារ,ក្រុមហ៊ុន Super Idea ផ្គត់ផ្គង់សម្ភារះបន្ទប់ទឹក,Advertising / PR / Events,Negotiable,Full Time,Marketing/Business Development,Non-Executive,,,Phnom Penh,"ភ្នំពេញ ផ្ទះលេខ១៦៨ ផ្លូវលេខ៣៥ ក្នុងបុរីសូនី(​កែងស្តុបលូ៥), Phnom Penh",No preference,Bachelor's Degree,18 - 50
Accountant ( Female ),"Monia Investment Co., Ltd",Property / Real Estate,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Phnom Penh,"#13, Street No.302, Sangkat Boeung Keng Kang (I), Khan Chamkar Morn, Phnom Penh,  Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,18 - 50
Sales Van & Credit Sales 8 pax,"Yoku Beverage Cambodia co.,ltd",Food and Berverage,Negotiable,Full Time,Retail Sales/General,Junior Executive,,,Phnom Penh,"#37, St07, Borey Piphop Thmey , tuol sangke, phnom Penh., Phnom Penh",No preference,Bachelor's Degree,23 - 35
SALES EXECUTIVE 20 Positions,"Yoku Beverage Cambodia co.,ltd",Food and Berverage,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#37, St07, Borey Piphop Thmey , tuol sangke, phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales Supervisor ( 10 pax),"Yoku Beverage Cambodia co.,ltd",Food and Berverage,Negotiable,Full Time,Top Management,Junior Executive,,,Phnom Penh,"#37, St07, Borey Piphop Thmey , tuol sangke, phnom Penh., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
បុគ្គលិកពេទ្យសត្វ/ពេទ្យត្រី,លី ហុងឆយ ត្រេឌីងខូអិលធីឌី,Advertising / PR / Events,Negotiable,Full Time,Nurse/Medical Support,Non-Executive,,,Phnom Penh,"ផ្លូវជាតិលេខ៥ សង្កាត់ ព្រែកព្នៅ ខណ្ឌ ព្រែកព្នៅ រាជធានីភ្នំពេញ, Phnom Penh",< 2 years,High School or equivalent,18 - 50
Preschool Teacher Assistant,Hua Qiao International School,Education / Training,Negotiable,Full Time,Education,Fresh/Entry Level,,,Phnom Penh,"#440, Kampuchea Krom Blvd, Sangkat Mittapheap Khan 7makara, Phnom Penh., Phnom Penh",< 2 years,Bachelor's Degree,21 - 26
Production Controller (PPSEZ: $250 - $350),"Marunix(Cambodia)Co., Ltd",General Business,Negotiable,Full Time,Manufacturing,Non-Executive,,,Phnom Penh,"PPSEZ, Pleung Chheh Rotes Commune, Dangko district, Phnom Penh, Phnom Penh",< 2 years,Bachelor's Degree,20 - 30
Japanese translator/Interpreter($250-$350),"Marunix(Cambodia)Co., Ltd",General Business,Negotiable,Full Time,Translator,Non-Executive,,,Phnom Penh,"PPSEZ, Pleung Chheh Rotes Commune, Dangko district, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Property Manager,CB Richard Ellis (Cambodia),Property / Real Estate,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"9th Floor, Phnom Penh Tower, #445, Monivong Blvd. corner street 232, Boeung Prolet Quarter, 7 Makara District, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Information Technology Support,CB Richard Ellis (Cambodia),Property / Real Estate,Negotiable,Full Time,IT-Software,Non-Executive,,,Phnom Penh,"9th Floor, Phnom Penh Tower, #445, Monivong Blvd. corner street 232, Boeung Prolet Quarter, 7 Makara District, Phnom Penh, Cambodia., Phnom Penh",< 2 years,Bachelor's Degree,21 - 50
Operations Manager,CB Richard Ellis (Cambodia),Property / Real Estate,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"9th Floor, Phnom Penh Tower, #445, Monivong Blvd. corner street 232, Boeung Prolet Quarter, 7 Makara District, Phnom Penh, Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Sales,"AJU Industry (Cambodia) Co., Ltd.",Construction / Building / Architecture,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"Kantork Cheung Village, Kantork commune, Dangkor District, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Assistant Production,"AJU Industry (Cambodia) Co., Ltd.",Construction / Building / Architecture,Negotiable,Full Time,Secretarial,Non-Executive,,,Phnom Penh,"Kantork Cheung Village, Kantork commune, Dangkor District, Phnom Penh., Phnom Penh",No preference,Bachelor's Degree,18 - 50
បុគ្គលិកដឹកជញ្ជូន,LY AN Express Services ( លី អាន​ សេវាកម្មដឹកជញ្ជួន),Logistics / Transportation / Warehouse,< $200 USD,Full Time,Logistics/Supply Chain,Non-Executive,,,Phnom Penh,"អាសយដ្ឋាន: ផ្ទះលេខ 65 ផ្លូវ P01 សង្កាត់ ច្រាំងចំរេះ១ ខណ្ឌ ឫស្សីកែវ រាជធានីភ្នំពេញ។, Phnom Penh",No preference,High School or equivalent,20 - 35
Export Customer Service (Male Only),G Link Express Logistics(Cambodia) Ltd,Logistics / Transportation / Warehouse,Negotiable,Full Time,Customer Service,Non-Executive,,,Phnom Penh,"No.4, Street 242, Sangkat Beungprolit, Khan 7 Makara, Phnom Penh Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Administrator,គំរោង សហប្រតិបត្តិការកម្ពុជា ជប៉ុន,General Business,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Phnom Penh,"Battambang City., Battambang",2-5 years,Bachelor's Degree,18 - 50
IT Officer,Zaman International School (Primary Campus),Education / Training,Negotiable,Full Time,IT-Software,Junior Executive,,,Phnom Penh,"No: 39, St: 315,  Boeng Kok 1, Toul Kork,  Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,25 - 35
Graphic Designer,Zaman International School (Primary Campus),Education / Training,Negotiable,Full Time,Arts/Creative Design,Junior Executive,,,Phnom Penh,"No: 39, St: 315,  Boeng Kok 1, Toul Kork,  Phnom Penh, Cambodia, Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
HR Manager,G-rise Media,Advertising / PR / Events,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"No. 805, Preah Monivong Blvd (93), 12305 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Store Manager,G-rise Media,Advertising / PR / Events,Negotiable,Full Time,Top Management,Non-Executive,,,Phnom Penh,"No. 805, Preah Monivong Blvd (93), 12305 Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Project Manager,គំរោង សហប្រតិបត្តិការកម្ពុជា ជប៉ុន,General Business,$1501 - $2000 USD,Full Time,Top Management,Senior Executive,,,Banteay Meanchey,"Battambang City., Battambang",2-5 years,Bachelor's Degree,18 - 50
General Manager,គំរោង សហប្រតិបត្តិការកម្ពុជា ជប៉ុន,General Business,$1001 - $1500 USD,Full Time,Top Management,Senior Executive,,,Phnom Penh,"Battambang City., Battambang",2-5 years,Bachelor's Degree,18 - 50
Housekeeping,Asarita Angkor Resort,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Junior Executive,,,Siem Reap,"National Road no. 6, Khum Svay Dangkom,Siem Reap, Kingdom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,18 - 50
Waiter and Hostess,Asarita Angkor Resort,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Junior Executive,,,Siem Reap,"National Road no. 6, Khum Svay Dangkom,Siem Reap, Kingdom of Cambodia, Siem Reap",No preference,High School or equivalent,18 - 50
Cook,Asarita Angkor Resort,Hotel / Resort / Travel,Negotiable,Full Time,Food/Beverage/Restaurant,Senior Executive,,,Siem Reap,"National Road no. 6, Khum Svay Dangkom,Siem Reap, Kingdom of Cambodia, Siem Reap",No preference,Bachelor's Degree,18 - 50
Accounting,Asarita Angkor Resort,Hotel / Resort / Travel,Negotiable,Full Time,General/Cost Accounting,Junior Executive,,,Siem Reap,"National Road no. 6, Khum Svay Dangkom,Siem Reap, Kingdom of Cambodia, Siem Reap",No preference,Bachelor's Degree,25 - 35
Guest Relation Officer,Asarita Angkor Resort,Hotel / Resort / Travel,Negotiable,Full Time,Clerical/Administrative,Junior Executive,,,Siem Reap,"National Road no. 6, Khum Svay Dangkom,Siem Reap, Kingdom of Cambodia, Siem Reap",No preference,Bachelor's Degree,18 - 50
Doorman/ Bell Boy,Asarita Angkor Resort,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Fresh/Entry Level,,,Siem Reap,"National Road no. 6, Khum Svay Dangkom,Siem Reap, Kingdom of Cambodia, Siem Reap",< 2 years,Bachelor's Degree,18 - 50
Sale Manager,Asarita Angkor Resort,Hotel / Resort / Travel,Negotiable,Full Time,Top Management,Junior Executive,,,Siem Reap,"National Road no. 6, Khum Svay Dangkom,Siem Reap, Kingdom of Cambodia, Siem Reap",2-5 years,Bachelor's Degree,25 - 40
ប្រធានគណនេយ្យ (ពេញម៉ោង),"ខាង ស៊ាងលី មឹស៊ីណឺរី អ៊ីមផត អ៊ិចផត  KHANG SEANGLY MACHINERY IMP & EXP CO., LTD",Automotive / Vehicle,Negotiable,Full Time,General/Cost Accounting,Non-Executive,,,Phnom Penh,"#A17, Monivong Blvd (St. 93, Old Stadium), Sangkat Sraschok, Khan Daun Penh, Phnom Penh, Phnom Penh",No preference,Associate Degree,18 - 50
គណនេយ្យករ ផ្នែកពន្ធដារ(ពេញម៉ោង),"ខាង ស៊ាងលី មឹស៊ីណឺរី អ៊ីមផត អ៊ិចផត  KHANG SEANGLY MACHINERY IMP & EXP CO., LTD",Automotive / Vehicle,Negotiable,Full Time,General/Cost Accounting,Non-Executive,,,Phnom Penh,"#A17, Monivong Blvd (St. 93, Old Stadium), Sangkat Sraschok, Khan Daun Penh, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
ជំនួយការ លទ្ធកម្ម/បញ្ជាទិញ(ពេញម៉ោង),"ខាង ស៊ាងលី មឹស៊ីណឺរី អ៊ីមផត អ៊ិចផត  KHANG SEANGLY MACHINERY IMP & EXP CO., LTD",Automotive / Vehicle,Negotiable,Full Time,Secretarial,Non-Executive,,,Phnom Penh,"#A17, Monivong Blvd (St. 93, Old Stadium), Sangkat Sraschok, Khan Daun Penh, Phnom Penh, Phnom Penh",No preference,Bachelor's Degree,18 - 50
Delivery & Logistic Team Leader,Yul Diversity,Logistics / Transportation / Warehouse,Negotiable,Full Time,Logistics/Supply Chain,Junior Executive,,,Phnom Penh,"Phum Boeung Salang, Sangkat Reussey Keo, Khan Reussey Keo, Phnom Penh-  Cambodia., Phnom Penh",2-5 years,Bachelor's Degree,18 - 50
Co-pilot,JC (Cambodia) International Airlines,Hotel / Resort / Travel,Negotiable,Full Time,Co-pilot,Non-Executive,,,Phnom Penh,"8th & 9th Floor, Suntown Plaza, Conner Russian Blvd & Northbridge Road, Sangkat Toeuk Thla, Khan SenSok,Phnom Penh, Kingdom of Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Cabin Crew,JC (Cambodia) International Airlines,Hotel / Resort / Travel,Negotiable,Full Time,Cabin Crew,Non-Executive,,,Phnom Penh,"8th & 9th Floor, Suntown Plaza, Conner Russian Blvd & Northbridge Road, Sangkat Toeuk Thla, Khan SenSok,Phnom Penh, Kingdom of Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Captain,JC (Cambodia) International Airlines,Hotel / Resort / Travel,Negotiable,Full Time,Captain,Non-Executive,,,Phnom Penh,"8th & 9th Floor, Suntown Plaza, Conner Russian Blvd & Northbridge Road, Sangkat Toeuk Thla, Khan SenSok,Phnom Penh, Kingdom of Cambodia., Phnom Penh",No preference,Bachelor's Degree,18 - 50
Receptionist,Onederz Hostel,Hotel / Resort / Travel,Negotiable,Full Time,Customer Service,Non-Executive,,,Preah Sihanouk,"Preah Sihanuk, Preah Sihanouk",No preference,Bachelor's Degree,18 - 50
អ្នកប្រឹក្សាផលិតផល 18តំណែង),"STELLAR IMEX CO., LTD.",Food and Berverage,Negotiable,Full Time,Food/Beverage/Restaurant,Non-Executive,,,Phnom Penh,"#367E1, Kampuchea Krom Boulevard (Street 128), Sangkat Mittapheap, Khan 7 Makara, Phnom Penh, Kingdom of Cambodia, Phnom Penh",No preference,High School or equivalent,18 - 50
អ្នករចនារូបភាពផ្សព្វផ្សាយ (Designer 2តំណែង),"STELLAR IMEX CO., LTD.",Food and Berverage,Negotiable,Full Time,Arts/Creative Design,Non-Executive,,,Phnom Penh,"#367E1, Kampuchea Krom Boulevard (Street 128), Sangkat Mittapheap, Khan 7 Makara, Phnom Penh, Kingdom of Cambodia, Phnom Penh",No preference,High School or equivalent,18 - 50
អ្នកប្រតិបត្តិផ្នែកលក់( 11តំណែង),"STELLAR IMEX CO., LTD.",Food and Berverage,Negotiable,Full Time,Retail Sales/General,Non-Executive,,,Phnom Penh,"#367E1, Kampuchea Krom Boulevard (Street 128), Sangkat Mittapheap, Khan 7 Makara, Phnom Penh, Kingdom of Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
ជំនួយការផ្នែកបំរើសេវាកម្មអតិថិជន (2តំណែង),"STELLAR IMEX CO., LTD.",Food and Berverage,Negotiable,Full Time,Secretarial,Non-Executive,,,Phnom Penh,"#367E1, Kampuchea Krom Boulevard (Street 128), Sangkat Mittapheap, Khan 7 Makara, Phnom Penh, Kingdom of Cambodia, Phnom Penh",No preference,Bachelor's Degree,18 - 50
អ្នកបើកឡាន 10តំណែង),"STELLAR IMEX CO., LTD.",Food and Berverage,Negotiable,Full Time,Logistics/Supply Chain,Non-Executive,,,Phnom Penh,"#367E1, Kampuchea Krom Boulevard (Street 128), Sangkat Mittapheap, Khan 7 Makara, Phnom Penh, Kingdom of Cambodia, Phnom Penh",No preference,High School or equivalent,18 - 50
